date,open,high,low,close
2020-06-05 15:37:00+09:00,1070014,1071180,1070000,1070978
2020-06-05 15:38:00+09:00,1070937,1076376,1070863,1075360
2020-06-05 15:39:00+09:00,1075356,1077629,1075356,1076455
2020-06-05 15:40:00+09:00,1076455,1076958,1076352,1076366
2020-06-05 15:41:00+09:00,1076387,1077000,1076352,1076700
2020-06-05 15:42:00+09:00,1076667,1077475,1076374,1076518
2020-06-05 15:43:00+09:00,1076522,1077137,1076408,1076768
2020-06-05 15:44:00+09:00,1076769,1076769,1076352,1076594
2020-06-05 15:45:00+09:00,1076558,1076689,1075893,1076006
2020-06-05 15:46:00+09:00,1076008,1076868,1075898,1076000
2020-06-05 15:47:00+09:00,1075898,1076219,1075738,1075869
2020-06-05 15:48:00+09:00,1075802,1076381,1075697,1076026
2020-06-05 15:49:00+09:00,1075979,1077267,1075768,1076600
2020-06-05 15:50:00+09:00,1076600,1077323,1076491,1076870
2020-06-05 15:51:00+09:00,1077272,1077629,1076918,1077027
2020-06-05 15:52:00+09:00,1077027,1077173,1076795,1076931
2020-06-05 15:53:00+09:00,1076845,1077185,1076603,1077009
2020-06-05 15:54:00+09:00,1076892,1077259,1076753,1076875
2020-06-05 15:55:00+09:00,1076953,1077253,1076671,1077071
2020-06-05 15:56:00+09:00,1077026,1077026,1076683,1076913
2020-06-05 15:57:00+09:00,1076981,1077528,1076868,1077419
2020-06-05 15:58:00+09:00,1077318,1077650,1077116,1077632
2020-06-05 15:59:00+09:00,1077590,1078499,1077588,1078499
2020-06-05 16:00:00+09:00,1078499,1078500,1077432,1077689
2020-06-05 16:01:00+09:00,1077630,1077630,1075241,1075818
2020-06-05 16:02:00+09:00,1075775,1076079,1075205,1075697
2020-06-05 16:03:00+09:00,1075576,1075707,1075100,1075336
2020-06-05 16:04:00+09:00,1075403,1075745,1075000,1075479
2020-06-05 16:05:00+09:00,1075384,1075746,1075045,1075257
2020-06-05 16:06:00+09:00,1075159,1075351,1075004,1075219
2020-06-05 16:07:00+09:00,1075157,1075352,1075054,1075133
2020-06-05 16:08:00+09:00,1075113,1075593,1074800,1075285
2020-06-05 16:09:00+09:00,1075155,1075285,1074742,1074788
2020-06-05 16:10:00+09:00,1074765,1074911,1074298,1074411
2020-06-05 16:11:00+09:00,1074532,1075020,1074412,1074598
2020-06-05 16:12:00+09:00,1074583,1075084,1074582,1074891
2020-06-05 16:13:00+09:00,1074860,1075301,1074596,1075100
2020-06-05 16:14:00+09:00,1075123,1075406,1074612,1075042
2020-06-05 16:15:00+09:00,1075025,1075222,1074651,1074813
2020-06-05 16:16:00+09:00,1074778,1075166,1074441,1074441
2020-06-05 16:17:00+09:00,1074503,1074941,1074345,1074801
2020-06-05 16:18:00+09:00,1074814,1074944,1074057,1074176
2020-06-05 16:19:00+09:00,1074335,1074474,1074032,1074258
2020-06-05 16:20:00+09:00,1074344,1074644,1074096,1074486
2020-06-05 16:21:00+09:00,1074335,1074546,1073707,1074136
2020-06-05 16:22:00+09:00,1074161,1074221,1073500,1073828
2020-06-05 16:23:00+09:00,1073828,1074140,1073550,1074065
2020-06-05 16:24:00+09:00,1074080,1074480,1073931,1074408
2020-06-05 16:25:00+09:00,1074412,1074906,1074335,1074809
2020-06-05 16:26:00+09:00,1074948,1074983,1074211,1074338
2020-06-05 16:27:00+09:00,1074338,1074703,1074114,1074252
2020-06-05 16:28:00+09:00,1074280,1074463,1073965,1074231
2020-06-05 16:29:00+09:00,1074323,1074607,1073669,1073695
2020-06-05 16:30:00+09:00,1073771,1074113,1073523,1073963
2020-06-05 16:31:00+09:00,1073959,1074124,1073519,1074076
2020-06-05 16:32:00+09:00,1074076,1074674,1073991,1074193
2020-06-05 16:33:00+09:00,1074193,1074201,1073726,1074160
2020-06-05 16:34:00+09:00,1074160,1074277,1073656,1073965
2020-06-05 16:35:00+09:00,1073965,1074127,1073847,1073850
2020-06-05 16:36:00+09:00,1073852,1074077,1073650,1073722
2020-06-05 16:37:00+09:00,1073722,1074341,1073722,1074209
2020-06-05 16:38:00+09:00,1074409,1074804,1074242,1074515
2020-06-05 16:39:00+09:00,1074610,1074678,1073786,1073786
2020-06-05 16:40:00+09:00,1073866,1074392,1073756,1073993
2020-06-05 16:41:00+09:00,1074025,1074369,1073932,1074031
2020-06-05 16:42:00+09:00,1074043,1074780,1074022,1074429
2020-06-05 16:43:00+09:00,1074486,1074774,1073971,1074076
2020-06-05 16:44:00+09:00,1074078,1074495,1073975,1074351
2020-06-05 16:45:00+09:00,1074323,1074642,1074255,1074484
2020-06-05 16:46:00+09:00,1074289,1074473,1074018,1074146
2020-06-05 16:47:00+09:00,1074146,1074231,1073850,1074008
2020-06-05 16:48:00+09:00,1074005,1074309,1073882,1074300
2020-06-05 16:49:00+09:00,1074300,1074729,1074156,1074415
2020-06-05 16:50:00+09:00,1074416,1074602,1074263,1074508
2020-06-05 16:51:00+09:00,1074508,1074643,1073715,1073933
2020-06-05 16:52:00+09:00,1073865,1074001,1073500,1073582
2020-06-05 16:53:00+09:00,1073582,1073755,1073117,1073365
2020-06-05 16:54:00+09:00,1073227,1073573,1073095,1073285
2020-06-05 16:55:00+09:00,1073385,1073600,1073166,1073166
2020-06-05 16:56:00+09:00,1073173,1073561,1072192,1073338
2020-06-05 16:57:00+09:00,1073338,1073769,1073127,1073769
2020-06-05 16:58:00+09:00,1073769,1073980,1073394,1073883
2020-06-05 16:59:00+09:00,1073850,1073964,1073599,1073713
2020-06-05 17:00:00+09:00,1073713,1075643,1073624,1074966
2020-06-05 17:01:00+09:00,1074910,1092500,1074423,1079010
2020-06-05 17:02:00+09:00,1088875,1090500,1075550,1079443
2020-06-05 17:03:00+09:00,1079627,1080793,1077127,1077872
2020-06-05 17:04:00+09:00,1077822,1078388,1077454,1078282
2020-06-05 17:05:00+09:00,1078280,1078282,1075673,1077451
2020-06-05 17:06:00+09:00,1077371,1078417,1077073,1077979
2020-06-05 17:07:00+09:00,1078152,1078205,1077000,1077115
2020-06-05 17:08:00+09:00,1077132,1077250,1076373,1076623
2020-06-05 17:09:00+09:00,1076642,1076716,1076088,1076369
